Timestamp,Author,Title,Description,Track 1 cover id,Color,2 Track URL,2 Track Description,2 Track buy link,1 Track cover image,2 Track cover image,Link to you (if you want one!),Track 2 cover id,Artist name 1,Track name 1,Artist Name 2,Track name 2,Bio,Column 1
,Aline,Greeting life!,"Go for a walk and say hi to the trees, flowers, animal and people that you see. ",Greeting_life.png,#FF9C0E,,,,,,,,,,,,,
,Dream,Mininature making workshop,"Can be VERY creative! As elaborate or as simple as you want, Using rocks, moss, branches you pick from the forest, or any artificial materials to make a little mininature scene",Mininature_making_workshop.png,#4ED147,,,,,,,,,,,,,
,Sofie,Childhood rhymes. ,Think about your childhood rhymes or word games. Try to remember 3 rhymes (ideally without looking them up - it doesn't matter if it is correct or not). Recite each rhyme 3 times out loud. In case the rhyme comes with a game or a dance try to do the dance - you can also invite people to join.,Childhood_rhymes.png,#D89AF9,,,,,,,,,,,,,
,Sofie,Doodling. ,"Take a piece of paper. It can be a blank piece, a page of a notebook or some scrap paper. Fill it with random, pointless doodles. Don't think about that it should look like something or be in a specific way. Just let your hand doodle on the paper. If you feel like it afterwards you can add some color on the spaces in the doodle.",,#FDF15B,,,,,,,,,,,,,
,Sofie, Your favorite color,"Think about what your favorite color is right now. Today, either wear something in that color or carry with you an item of that color. If you don't own anything of that color, your task is to buy something that has this color.",,#FF66E3,,,,,,,,,,,,,
,Dream,Colored pencil drawing afternoon with friends:,"A couple of friends, with sets of colored pencils, drawing sth you feel like, with tea and snacks of course haha",,#E8DCE8,,,,,,,,,,,,,
,Dream,Chinese cooking night,Cook some Chinese food together and show people the step-by-step and do it together,,#FF3E3E,,,,,,,,,,,,,
,Aline,Dancing with yourself ,"Choose 5 dancing tracks, go to your room, lock the doors. In front of the mirror and dance with yourself! Dance like a bailarine, michael jackeson, elvis presley, beyonce...or your own crazy movements. Dance as if there's no tomorrow...",,#4E9EFF,,,,,,,,,,,,,
,Aline,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Noemi,,,,,,,,,,,,,,,,,
,Sarah,,,,,,,,,,,,,,,,,
,Dream,,,,,,,,,,,,,,,,,
,Masuda,,,,,,,,,,,,,,,,,
